"","X1","X2","X3"
"rho.cur.173",0.499961795056765,0.499974604700981,0.500099535121871
"rho.cur.174",0.499953963540657,0.499964329196373,0.500095083544583
"rho.cur.175",0.499953963540657,0.499964329196373,0.500095083544583
"rho.cur.176",0.499960415602773,0.499955548888119,0.500081771680983
"rho.cur.177",0.499960415602773,0.499955548888119,0.500081771680983
"rho.cur.178",0.499960415602773,0.499955548888119,0.500081771680983
"rho.cur.179",0.499960415602773,0.499955548888119,0.500081771680983
"rho.cur.180",0.499960415602773,0.499955548888119,0.500081771680983
"rho.cur.181",0.499952285812907,0.499948261661045,0.500083283893508
"rho.cur.182",0.499956240649913,0.499951255309144,0.50007449002157
"rho.cur.183",0.499956240649913,0.499951255309144,0.50007449002157
"rho.cur.184",0.499956240649913,0.499951255309144,0.50007449002157
"rho.cur.185",0.499958021310167,0.499949784745164,0.500077593865446
"rho.cur.186",0.499958021310167,0.499949784745164,0.500077593865446
"rho.cur.187",0.499958021310167,0.499949784745164,0.500077593865446
"rho.cur.188",0.499966145319738,0.499964979222398,0.500078686071497
"rho.cur.189",0.499965952175702,0.499960697742785,0.500080431913997
"rho.cur.190",0.499962918794053,0.499946233734256,0.500090598443894
"rho.cur.191",0.499960444834474,0.499931622803556,0.500088964467405
"rho.cur.192",0.499960444834474,0.499931622803556,0.500088964467405
"rho.cur.193",0.499960444834474,0.499931622803556,0.500088964467405
"rho.cur.194",0.499960444834474,0.499931622803556,0.500088964467405
"rho.cur.195",0.499960444834474,0.499931622803556,0.500088964467405
"rho.cur.196",0.499959243630706,0.499929335204549,0.500076502113995
"rho.cur.197",0.499959243630706,0.499929335204549,0.500076502113995
"rho.cur.198",0.499959243630706,0.499929335204549,0.500076502113995
"rho.cur.199",0.49996149504859,0.499920618019113,0.500076925794166
"rho.cur.200",0.49995192345201,0.499938252572715,0.500068590232106
"rho.cur.201",0.499951219925284,0.499928225111617,0.500062901792436
"rho.cur.202",0.499943824764313,0.499924369122991,0.500068077812803
"rho.cur.203",0.499942693997375,0.499908103213124,0.500061854901258
"rho.cur.204",0.499942693997375,0.499908103213124,0.500061854901258
"rho.cur.205",0.499942693997375,0.499908103213124,0.500061854901258
"rho.cur.206",0.499934241302293,0.499914194881748,0.500049424222242
"rho.cur.207",0.499934241302293,0.499914194881748,0.500049424222242
"rho.cur.208",0.499934241302293,0.499914194881748,0.500049424222242
"rho.cur.209",0.499934241302293,0.499914194881748,0.500049424222242
"rho.cur.210",0.499934241302293,0.499914194881748,0.500049424222242
"rho.cur.211",0.499931074375878,0.499917599082114,0.500050668848907
"rho.cur.212",0.499940788916433,0.499928581722081,0.500041560671218
"rho.cur.213",0.499945525336997,0.499915117847584,0.500056077084341
"rho.cur.214",0.499945525336997,0.499915117847584,0.500056077084341
"rho.cur.215",0.499945525336997,0.499915117847584,0.500056077084341
"rho.cur.216",0.499952078824858,0.499925266987616,0.50005901406372
"rho.cur.217",0.499952078824858,0.499925266987616,0.50005901406372
"rho.cur.218",0.499952078824858,0.499925266987616,0.50005901406372
"rho.cur.219",0.499952078824858,0.499925266987616,0.50005901406372
"rho.cur.220",0.499949784793267,0.499932516615661,0.500046655172031
"rho.cur.221",0.499948371490906,0.499929260727381,0.500034970961234
"rho.cur.222",0.499948371490906,0.499929260727381,0.500034970961234
"rho.cur.223",0.499948371490906,0.499929260727381,0.500034970961234
"rho.cur.224",0.499954594569132,0.499944268210549,0.500037328090512
"rho.cur.225",0.499947278459775,0.499946667416338,0.500039677215072
"rho.cur.226",0.499946117826635,0.499946117075672,0.500033191359942
"rho.cur.227",0.499947230581446,0.499928269027872,0.500026102577523
"rho.cur.228",0.499947230581446,0.499928269027872,0.500026102577523
"rho.cur.229",0.499947230581446,0.499928269027872,0.500026102577523
"rho.cur.230",0.499947230581446,0.499928269027872,0.500026102577523
"rho.cur.231",0.499947230581446,0.499928269027872,0.500026102577523
"rho.cur.232",0.499947230581446,0.499928269027872,0.500026102577523
"rho.cur.233",0.499956705293665,0.499915717513161,0.5000142416004
"rho.cur.234",0.499956705293665,0.499915717513161,0.5000142416004
"rho.cur.235",0.499957561344947,0.499927974121049,0.500003049704102
"rho.cur.236",0.499955352533343,0.499914756472819,0.500008067409338
"rho.cur.237",0.499955352533343,0.499914756472819,0.500008067409338
"rho.cur.238",0.499946707017035,0.499905178361973,0.499994997423115
"rho.cur.239",0.499946707017035,0.499905178361973,0.499994997423115
"rho.cur.240",0.499947387653431,0.499905033527641,0.500003385324739
"rho.cur.241",0.499937511141249,0.49989807343863,0.50000497764064
"rho.cur.242",0.499937511141249,0.49989807343863,0.50000497764064
"rho.cur.243",0.499937511141249,0.49989807343863,0.50000497764064
"rho.cur.244",0.499937511141249,0.49989807343863,0.50000497764064
"rho.cur.245",0.4999314080936,0.499880868725609,0.500015720512092
"rho.cur.246",0.4999314080936,0.499880868725609,0.500015720512092
"rho.cur.247",0.4999314080936,0.499880868725609,0.500015720512092
