"","X1","X2","X3","X4","X5","X6"
"X.63",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
"X.64",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
"X.65",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
"X.66",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
"X.67",52.5248761472476,13.4007995986946,17.0467254586433,146.864758226859,-126.629829819602,190.129158032476
"X.68",52.4048499164356,12.821304079295,19.7742901399647,149.674561267557,-127.99210842262,187.052443313762
"X.69",55.7669480179621,11.5425638949134,22.9340885087763,146.143676584425,-130.538531537456,186.255019805743
"X.70",58.6243528851492,14.0326574055113,23.8596369989132,148.594280097472,-132.906662534279,190.235008239164
"X.71",62.4138591882957,17.1190926899769,22.5544643320059,144.731030419307,-129.533003558693,186.607893537148
"X.72",63.3885416031999,18.4056314026572,21.6792698532259,148.321339323955,-131.868543115733,189.353277263581
"X.73",63.3885416031999,18.4056314026572,21.6792698532259,148.321339323955,-131.868543115733,189.353277263581
"X.74",66.2382575121893,20.5439197646089,23.0569100186144,150.091202128517,-132.557828487185,187.04122655408
"X.75",66.2382575121893,20.5439197646089,23.0569100186144,150.091202128517,-132.557828487185,187.04122655408
"X.76",67.6842878905309,19.1873333232113,23.3656859073704,146.735293246644,-131.201143327457,188.170421234681
"X.77",67.6842878905309,19.1873333232113,23.3656859073704,146.735293246644,-131.201143327457,188.170421234681
"X.78",67.6842878905309,19.1873333232113,23.3656859073704,146.735293246644,-131.201143327457,188.170421234681
"X.79",67.6842878905309,19.1873333232113,23.3656859073704,146.735293246644,-131.201143327457,188.170421234681
"X.80",70.0168162004275,19.1099671927848,23.8709303505634,150.14614244348,-130.696830514175,191.154591289698
"X.81",72.8443041590227,18.1181667094686,25.3097790229981,153.244329279127,-131.18414555612,187.556470767944
"X.82",76.4821501371635,16.6018297729649,27.3338520780121,154.156147898944,-128.90044198866,185.946315269335
"X.83",78.7851661720497,15.0117159841218,25.5654037661766,157.530377020898,-128.343263502521,185.141651125043
"X.84",78.7851661720497,15.0117159841218,25.5654037661766,157.530377020898,-128.343263502521,185.141651125043
"X.85",82.137440584339,16.8055574373909,21.876497174791,157.30352584629,-127.032418362153,186.112087008892
"X.86",82.137440584339,16.8055574373909,21.876497174791,157.30352584629,-127.032418362153,186.112087008892
"X.87",82.137440584339,16.8055574373909,21.876497174791,157.30352584629,-127.032418362153,186.112087008892
"X.88",82.137440584339,16.8055574373909,21.876497174791,157.30352584629,-127.032418362153,186.112087008892
"X.89",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.90",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.91",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.92",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.93",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.94",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.95",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.96",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.97",86.0703949609024,15.408794460968,24.7085884205913,156.524706952112,-127.932654050467,188.215132541372
"X.98",88.1105858103556,11.8655511384465,25.961467980585,154.632802558901,-124.842156513882,184.396282081841
"X.99",91.859794202931,14.1344569271066,22.7994100760584,151.494501568215,-121.767604737831,187.390301776468
"X.100",91.859794202931,14.1344569271066,22.7994100760584,151.494501568215,-121.767604737831,187.390301776468
"X.101",94.1396904342992,16.0722679329672,24.1474286012267,150.703916353943,-118.574712532861,185.473903238191
"X.102",91.8674434271825,12.8828945925095,23.8639366339808,151.221274886119,-115.939928141711,188.477448406978
"X.103",91.8674434271825,12.8828945925095,23.8639366339808,151.221274886119,-115.939928141711,188.477448406978
"X.104",91.8674434271825,12.8828945925095,23.8639366339808,151.221274886119,-115.939928141711,188.477448406978
"X.105",91.8674434271825,12.8828945925095,23.8639366339808,151.221274886119,-115.939928141711,188.477448406978
"X.106",95.26572937306,14.9829935805508,26.9160164866512,151.452248517262,-113.906990199638,190.279417562648
"X.107",93.9093537402524,17.9133374673881,29.0013773601418,152.99152943662,-111.99059314589,187.736063865363
"X.108",93.9093537402524,17.9133374673881,29.0013773601418,152.99152943662,-111.99059314589,187.736063865363
"X.109",96.7468513322247,17.4622105547794,28.2570129793053,154.071730276408,-108.156000997228,189.363266478642
"X.110",96.7468513322247,17.4622105547794,28.2570129793053,154.071730276408,-108.156000997228,189.363266478642
"X.111",94.9324632098151,19.4051300437756,30.9530504301106,150.829147487717,-106.028311592815,191.84814523661
"X.112",94.9324632098151,19.4051300437756,30.9530504301106,150.829147487717,-106.028311592815,191.84814523661
"X.113",94.9324632098151,19.4051300437756,30.9530504301106,150.829147487717,-106.028311592815,191.84814523661
"X.114",96.6045170498265,22.5961116311707,29.3578381623988,154.26335451177,-108.563404039768,195.1731589915
"X.115",95.1563407273216,21.4400196319081,32.4758429855024,157.49853941037,-108.594514961643,193.980942496448
"X.116",95.1563407273216,21.4400196319081,32.4758429855024,157.49853941037,-108.594514961643,193.980942496448
"X.117",97.0902536471559,24.4974108488866,32.1863454610025,161.053591668444,-109.30450508493,192.562521261512
"X.118",97.0902536471559,24.4974108488866,32.1863454610025,161.053591668444,-109.30450508493,192.562521261512
"X.119",97.0902536471559,24.4974108488866,32.1863454610025,161.053591668444,-109.30450508493,192.562521261512
"X.120",97.0902536471559,24.4974108488866,32.1863454610025,161.053591668444,-109.30450508493,192.562521261512
"X.121",97.0902536471559,24.4974108488866,32.1863454610025,161.053591668444,-109.30450508493,192.562521261512
"X.122",97.0902536471559,24.4974108488866,32.1863454610025,161.053591668444,-109.30450508493,192.562521261512
"X.123",100.863436989225,25.2085397300877,31.935553380466,163.125513445424,-105.892001881552,196.415122912614
"X.124",100.863436989225,25.2085397300877,31.935553380466,163.125513445424,-105.892001881552,196.415122912614
"X.125",100.863436989225,25.2085397300877,31.935553380466,163.125513445424,-105.892001881552,196.415122912614
"X.126",104.321610875167,22.7340399792053,35.9268529631113,162.333232851537,-108.850462965024,194.716141506447
"X.127",104.321610875167,22.7340399792053,35.9268529631113,162.333232851537,-108.850462965024,194.716141506447
"X.128",104.321610875167,22.7340399792053,35.9268529631113,162.333232851537,-108.850462965024,194.716141506447
"X.129",104.321610875167,22.7340399792053,35.9268529631113,162.333232851537,-108.850462965024,194.716141506447
"X.130",104.321610875167,22.7340399792053,35.9268529631113,162.333232851537,-108.850462965024,194.716141506447
"X.131",104.321610875167,22.7340399792053,35.9268529631113,162.333232851537,-108.850462965024,194.716141506447
"X.132",107.702996078618,24.9347766397156,36.8454066358422,159.670580666351,-111.394444444505,194.64443805383
"X.133",109.689963379614,22.7833805085727,36.7916548672979,160.913919709461,-109.180861956728,190.687123268261
"X.134",110.416734302155,19.8528389094033,35.8192218534564,158.447754816922,-106.738018819419,193.535032202839
"X.135",110.416734302155,19.8528389094033,35.8192218534564,158.447754816922,-106.738018819419,193.535032202839
"X.136",110.416734302155,19.8528389094033,35.8192218534564,158.447754816922,-106.738018819419,193.535032202839
"X.137",110.416734302155,19.8528389094033,35.8192218534564,158.447754816922,-106.738018819419,193.535032202839
"X.138",110.416734302155,19.8528389094033,35.8192218534564,158.447754816922,-106.738018819419,193.535032202839
"X.139",110.562504831441,18.500603161902,36.5010307423686,159.516115192162,-108.031155138565,194.02944880852
"X.140",109.573517134152,19.7631752697386,38.0791463378732,158.16880937277,-105.452117045698,190.469580161734
"X.141",112.348668560125,17.824148468823,41.135914265356,159.138098630892,-103.85093348409,191.106091876863
"X.142",112.348668560125,17.824148468823,41.135914265356,159.138098630892,-103.85093348409,191.106091876863
"X.143",112.348668560125,17.824148468823,41.135914265356,159.138098630892,-103.85093348409,191.106091876863
"X.144",112.348668560125,17.824148468823,41.135914265356,159.138098630892,-103.85093348409,191.106091876863
"X.145",112.348668560125,17.824148468823,41.135914265356,159.138098630892,-103.85093348409,191.106091876863
"X.146",111.945472419001,19.2133432330199,41.5320090383207,158.280266815635,-100.07461432862,189.254916505306
"X.147",111.945472419001,19.2133432330199,41.5320090383207,158.280266815635,-100.07461432862,189.254916505306
"X.148",114.360160223879,22.6953144894548,44.8871585607444,158.50985043666,-98.4432882790542,187.91065838316
"X.149",114.981475183479,24.1496002805986,45.6337661009198,156.552177453252,-96.2254964479334,190.940287196427
"X.150",114.981475183479,24.1496002805986,45.6337661009198,156.552177453252,-96.2254964479334,190.940287196427
"X.151",114.981475183479,24.1496002805986,45.6337661009198,156.552177453252,-96.2254964479334,190.940287196427
"X.152",114.981475183479,24.1496002805986,45.6337661009198,156.552177453252,-96.2254964479334,190.940287196427
